operação;Data;hora;Moeda;quantidade;Valor (Custo FIFO);Ativo_Contraparte;Valor_Recebido_Contraparte;Fees
Retirada para carteira externa;2020-01-29;10:21:22;Ethereum;2.06100847;1431,6;Carteira Externa;0,0;9,24e-05
Entrada Fiat;2020-02-05;11:14:33;BRL;;1800,0;Banco;1800,0;0,0
Compra;2020-02-05;11:17:38;Bitcoin;0.04489923;1800,01;BRL;1800,01;0,0002245
Entrada Fiat;2020-02-06;17:29:08;BRL;;5400,0;Banco;5400,0;0,0
Compra;2020-02-07;10:48:13;Bitcoin;0.02150538;900,0;BRL;900,0;0,00010753
Compra;2020-02-07;10:49:27;Ethereum;0.94888664;900,0;BRL;900,0;0,00474443
Compra;2020-02-07;10:50:44;XRP;743.801653;900,0;BRL;900,0;3,719008
Compra;2020-02-08;08:52:26;Bitcoin;0.02612827;1100,0;BRL;1100,0;0,00013064
Compra;2020-02-08;08:58:49;XRP;261.983471;317,0;BRL;317,0;1,309917
Compra;2020-02-08;09:02:57;Ethereum;0.96816187;946,5;BRL;946,5;0,00484081
Compra;2020-02-08;09:02:57;Ethereum;0.34298853;335,31;BRL;335,31;0,00171494
Entrada Fiat;2020-02-10;09:19:27;BRL;;2400,0;Banco;2400,0;0,0
Compra;2020-02-10;09:25:42;XRP;1630.652542;1924,17;BRL;1924,17;8,153263
Compra;2020-02-10;09:27:01;XRP;168.831;199,22;BRL;199,22;0,422078
Compra;2020-02-10;09:27:42;XRP;235.423238;277,8;BRL;277,8;0,588558
Entrada Fiat;2020-02-11;18:04:03;BRL;;5000,0;Banco;5000,0;0,0
Compra;2020-02-11;18:06:39;Bitcoin;0.09033424;4000,0;BRL;4000,0;0,00045167
Compra;2020-02-11;18:08:02;Ethereum;0.50850244;526,81;BRL;526,81;0,00254251
Compra;2020-02-11;18:08:02;Ethereum;0.45673921;473,18;BRL;473,18;0,0022837
Entrada Fiat;2020-02-13;13:02:36;BRL;;5500,0;Banco;5500,0;0,0
Compra;2020-02-13;13:10:12;XRP;2012.413793;2897,88;BRL;2897,88;10,062069
Compra;2020-02-13;13:12:18;Bitcoin;0.0444484;1999,98;BRL;1999,98;0,00022224
Compra;2020-02-13;13:13:52;Ethereum;0.50135716;602,09;BRL;602,09;0,00250679
Retirada para carteira externa;2020-02-29;18:25:17;Bitcoin;0.22605926;9464,05;Carteira Externa;0,0;0,00011968
Retirada para carteira externa;2020-03-12;14:32:50;Ethereum;3.70165611;3704,3;Carteira Externa;0,0;0,00634656
Retirada para carteira externa;2020-03-12;20:40:17;XRP;2520.9;2994,84;Carteira Externa;0,0;0,1
Retirada para carteira externa;2020-03-12;20:55:47;XRP;2507.750804;3465,62;Carteira Externa;0,0;0,1
Entrada Fiat;2020-03-16;17:50:51;BRL;;1699,74;Banco;1699,74;0,0
Compra;2020-03-16;18:02:32;Bitcoin;0.06718578;1699,8;BRL;1699,8;0,00016796
Retirada para carteira externa;2020-03-16;18:46:49;Bitcoin;0.06689814;2330,98;Carteira Externa;0,0;0,00011968
Entrada Fiat;2020-04-17;16:06:59;BRL;;2000,0;Banco;2000,0;0,0
Compra;2020-04-17;16:10:13;Bitcoin;0.00418069;154,27;BRL;154,27;1,045e-05
Compra;2020-04-17;16:15:29;Bitcoin;0.04981998;1845,73;BRL;1845,73;0,0002491
Retirada para carteira externa;2020-04-17;16:30:26;Bitcoin;0.05362144;1601,74;Carteira Externa;0,0;0,00011968
Entrada Fiat;2020-04-29;10:23:27;BRL;;1750,0;Banco;1750,0;0,0
Compra;2020-04-30;08:51:56;Ethereum;1.50836063;1750,0;BRL;1750,0;0,0075418
Retirada para carteira externa;2020-04-30;09:07:48;Ethereum;1.49953308;1744,81;Carteira Externa;0,0;0,00128575
Entrada Fiat;2020-05-22;09:35:40;BRL;;5000,0;Banco;5000,0;0,0
Compra;2020-05-22;09:40:13;Bitcoin;0.07888408;4116,36;BRL;4116,36;0,00039442
Compra;2020-05-22;09:40:13;Bitcoin;0.01690137;881,95;BRL;881,95;8,451e-05
Retirada para carteira externa;2020-05-22;09:48:13;Bitcoin;0.09474552;4443,35;Carteira Externa;0,0;0,000561
Entrada Fiat;2020-06-04;14:01:14;BRL;;3000,0;Banco;3000,0;0,0
Compra;2020-06-04;14:05:36;Bitcoin;0.01107674;558,27;BRL;558,27;2,769e-05
Compra;2020-06-04;14:06:26;Bitcoin;0.04848061;2443,42;BRL;2443,42;0,0001212
Entrada Fiat;2020-06-08;14:11:08;BRL;;4500,0;Banco;4500,0;0,0
Compra;2020-06-08;14:12:32;Bitcoin;0.03628067;1745,1;BRL;1745,1;0,0001814
Compra;2020-06-08;14:12:54;Bitcoin;0.00633888;304,9;BRL;304,9;1,585e-05
Compra;2020-06-08;14:15:36;Ethereum;1.83111545;2237,22;BRL;2237,22;0,00915558
Compra;2020-06-08;14:15:36;Ethereum;0.17415555;212,78;BRL;212,78;0,00087078
Retirada para carteira externa;2020-06-23;15:50:43;Ethereum;1.99372004;2427,71;Carteira Externa;0,0;0,0015246
Retirada para carteira externa;2020-06-27;17:03:11;Bitcoin;0.10173726;5169,85;Carteira Externa;0,0;9,35e-05
Entrada Fiat;2020-06-29;10:50:50;BRL;;5000,0;Banco;5000,0;0,0
Compra;2020-06-29;10:59:14;Bitcoin;0.08070502;3998,93;BRL;3998,93;0,00040353
Compra;2020-06-29;10:59:14;Bitcoin;0.02;991,0;BRL;991,0;0,0001
Retirada para carteira externa;2020-06-29;11:06:54;Bitcoin;0.10010799;4910,23;Carteira Externa;0,0;9,35e-05
Entrada Fiat;2020-07-02;18:52:32;BRL;;2500,0;Banco;2500,0;0,0
Compra;2020-07-02;19:22:17;Ethereum;0.62452873;768,17;BRL;768,17;0,00312264
Compra;2020-07-02;19:34:51;Ethereum;0.77918908;966,18;BRL;966,18;0,00389595
Compra;2020-07-02;19:37:56;Ethereum;0.62463865;775,72;BRL;775,72;0,00312319
Retirada para carteira externa;2020-07-02;19:41:50;Ethereum;1.00752622;1240,45;Carteira Externa;0,0;0,00147378
Retirada para carteira externa;2020-07-02;19:47:14;Ethereum;1.00770533;1250,42;Carteira Externa;0,0;0,00150935
